class_name,tags
COMMUNICATION CAPPING,"COMMUNICATIONS, SPEECH, TOOLS, SKILLS, TECHNIQUES, TALKING, CAPPING, SENIOR"
COMMUNICATION CAMPAIGN MANAGEMENT,"COMMUNICATIONS, SPEECH, TOOLS, SKILLS, TECHNIQUES, TALKING, CAMPAIGN, MANAGMENT"
ADVANCED PUBLIC PRESENTATIONS,"RELATIONS, WRITING, TOOLS, COMMUNICATIONS, PEOPLE, SPEAKING, PRESENTATIONS"
ADVANCED COPYWRITING,"COPYWRITING, WRITING, JOURNALISM ,MEDIA, PRESS, PUBLIC, ADVANCED"
ADVERTISING RESEARCH,"ADVERTISING, MARKETING, RESEARCH, BUSINESS, SALES, PEOPLE, ADVANCED"
RADIO NEWS II,"RADIO, BROADCAST, NEWS, PUBLIC, SPEECH, TALKING, PEOPLE, COMMUNICATIONS, MEDIA"
BRANDING,"MARKETING, ADVERTISING, SALES, BUSINESS, DESIGN, GRAPHICDESIGN, PUBLICPRESENTATION"
SPORTS BROADCASTING,"SPORTS, BROADCAST, JOURNALISM, PUBLIC, SPEECH, TELEVISION, RADIO"
COMMUNICATION THEORY,"THEORY, COMMUNICATIONS, SPEECH, SPEAKING, RELATIONS, PUBLIC"
ADVOCACY JOURNALISM,"JOURNALISM, INTRODUCTORY, WRITING, ARTICLES, JOURNALISM, NEWS, READING, RELATIONS"
SPECIALIZED JOURNALISM,"JOURNALISM, INTRODUCTORY, WRITING, ARTICLES, JOURNALISM, NEWS, READING"
SPORTS REPORTING,"SPORTS, BROADCAST, JOURNALISM, PUBLIC, SPEECH, TELEVISION, RADIO"
SPORTS PUBLIC RELATIONS,"SPORTS, BROADCAST, JOURNALISM, PUBLIC, SPEECH, TELEVISION, RADIO, RELATIONS"
JOURNALISM PRAXIS,"JOURNALISM, WRITING, ARTICLES, JOURNALIST, NEWS, PRACTICAL"
ALTERNATIVE JOURNALISM,"JOURNALISM, WRITING, ARTICLES, JOURNALIST, NEWS, PRACTICAL"
JOURNALISM WORKSHOP,"JOURNALISM, WRITING, ARTICLES, JOURNALIST, NEWS, PRACTICAL"
COMPARATIVE COMMUNICATION SYSTEMS,"COMMUNICATIONS, SPEECH, TOOLS, SKILLS, TECHNIQUES, TALKING, SYSTEMS"
MS EXCEL,"COMPUTINGTECHNOLOGY, EXCEL, SKILLS, TOOLS, COMPENTANCY "
GAME STUDIES SEMINAR,"GAMING, GAMEDESIGN, TECHNOLOGY, DESIGN, COMPUTINGTECHNOLOGY"
SOFTWARE DEVELOPMENT II,"SOFTWARE, COMPUTINGTECHNOLOGY, SOFTWAREDEVELOPMENT, CODING, PHP, HTML, SQL"
SOFTWARE SYSTEMS AND ANALYSIS,"SOFTWARE, SYSTEMS, ANALYSIS, COMPUTINGTECHNOLOGY, BUSINESS, DEVELOPMENT"
MANAGEMENT INFORMATION SYSTEMS,"INFORMATIONSYSTEMS, MANAGEMENT, PROJECTMANAGER, COMPUTINGTECHNOLOGY"
INTRODUCTION TO PROGRAMMING,"PYTHON, COMPUTINGTECHNOLOGY, CODING, INTRODUCTORY, FUNDAMENTALS, PROGRAMMING"
"TECHNOLOGY, ETHICS, AND SOCIETY","ETHICS, SOCIETY, COMPUTINGTECHNOLOGY, WRITING, ARTICLES"
SOFTWARE DEVELOPMENT I,"COMPUTINGTECHNOLOGY, JAVA, CODING, OOP, PROGRAMMING, SOFTWARE, SOFTWAREDEVELOPMENT"
DATA COMMUNICATIONS AND NETWORKS,"INFORMATIONTECHNOLOGY, IT, DATA, COMMUNICATIONS, NETWORKING, DEVICES"
INTERNETWORKING,"INFORMATIONTECHNOLOGY, IT, DATA, COMMUNICATIONS, NETWORKING, DEVICES"
INTRODUCTION TO Z/OS NETWORKING,"NETWORKING, COMPUTINGTECHNOLOGY, INFORMATIONTECHNOLOGY, OPERATINGSYSTEMS, INTRODUCTORY, IBM, ZOS"
DATABASE MANAGEMENT,"SQL, DATA, DATABASES, QUERY, ORGANIZATIONS, FILTERING, SORTING, SEARCHING"
INTRODUCTION TO Z/OS SECURITY,"SECURITY, OPERATINSYSTEMS, CYBERSECURITY, IBM, ZOS"
PROJECT MANAGEMENT,"INFORMATIONSYSTEMS, PROJECTMANAGEMENT, LEAD, PROJECT, PEOPLE, RELATIONS, ORGANIZATION"
UNIX,"UNIX, OPERATINGSYSTEMS, COMPUTERSCIENCE, PROGRAMMING, CODING"
SYSTEM DESIGN,"DESIGN, CSS, HTML, WEBDESIGN, DIGITALDESIGN, WEBSITE, SYSTEMS"
THEORY OF PROGRAMMING LANGUAGES,"THEORY, LANGUAGESTUDY, LETLANG, COMPILERS, PROGRAMMING, CODING, SYNTAX"
LANGUAGE STUDY,"LANGUAGESTUDY, CODING, THEORY, SYNTAX"
E-COMMERCE DEVELOPMENT AND DESIGN,"ECOMMERCE, BUSINESS, DESIGN, CODING, WEBSITE, ONLINE, DEVELOPMENT"
INTRODUCTION TO CYBERSECURITY,"CYBERSECURITY, CODING, HACKING, COMPUTINGTECHNOLOGY, SECURITY, TESTING, CODING"
HACKING AND PENETRATION TESTING,"CYBERSECURITY, CODING, HACKING, COMPUTINGTECHNOLOGY, SECURITY, TESTING, CODING"
ROBOTICS,"ENGINEERING, PROGRAMMING, ROBOTICS, CODING, COMPUTINGTECHNOLOGY"
GAME DESIGN AND PROGRAMMING I,"GAMING, GAMEDESIGN, TECHNOLOGY, DESIGN, COMPUTINGTECHNOLOGY, PROGRAMMING"
GAME DESIGN AND PROGRAMMING II,"GAMING, GAMEDESIGN, TECHNOLOGY, DESIGN, COMPUTINGTECHNOLOGY, PROGRAMMING"
MOBILE SECURITY,"CYBERSECURITY, CODING, HACKING, COMPUTINGTECHNOLOGY, SECURITY, TESTING, CODING, MOBILE"
INTERNET SECURITY,"CYBERSECURITY, CODING, HACKING, COMPUTINGTECHNOLOGY, SECURITY, TESTING, CODING, INTERNET"
OPERATING SYSTEMS,"TYPESCRIPT, CODING, PROGRAMMING, OPERTATINGSYSTEMS, SYSTEMS, HTML, DEBUGGING, DESIGN, COMPUTINGTECHNOLOGY"
DISTRIBUTED SYSTEMS,"SYSTEMS, COMPUTINGTECHNOLOGY, OPERATINGSYSTEMS, CODING, PROGRAMMING, COMPUTERS"
WIRELESS COMMUNICATIONS,"WIRELESS, NETWORK, NETWORKING, INFORMATIONTECHNOLOGY, DEVICES, MOBILE,  COMMUNICATIONS"
DATA AND INFORMATION MANAGEMENT,"DATA, DATAMANAGEMENT, INFORMATIONTECHNOLOGY, COMMUNICATIONS, DATABASE, NETWORKING"
TECHNOLOGY ENTREPRENEURSHIP,"COMPUTINGTECHNOLOGY, ENTREPRENEURSHIP, PERSONAL, TECHNOLOGY, PEOPLE, GROWTH"
DESIGN OF COMPILERS,"COMPILERS, CODING, LANGUAGESTUDY, PROGRAMMING, DESIGN, SOFTWARE, COMPUTINGTECHNOLOGY"
ALGORITHM ANALYSIS AND DESIGN,"MATH, ALGORITHMS, DESIGN, ANALYSIS, COMPUTERSCIENCE,  PATTERNS, SORTING, SEARCHING"
FORMAL LANGUAGES AND COMPUTABILITY,"LANGUAGESTUDY, COMPUTINGTECHNOLOGY, CODING, COMPUTERSCIENCE, LANGUAGE, COMPILING "
COMPUTER GRAPHICS,"COMPUTERGRAPHICS, DIGITALGRAPHICS, GRAPHICS, COMPUTINGTECHNOLOGY, DESIGN, CREATIVITY, DIGITALDESIGN"
Z/OS ADVANCED TOPICS,"IBM, ZOS, COMPUTERSCIENCE, COMPUTINGTECHNOLOGY"
Z/OS EMERGING TECHNOLOGIES,"IBM, ZOS, COMPUTERSCIENCE, COMPUTINGTECHNOLOGY"
Z/OS INSTALLATION,"IBM, ZOS, COMPUTERSCIENCE, COMPUTINGTECHNOLOGY"
Z/OS PERFORMANCE FUNDAMENTALS,"IBM, ZOS, COMPUTERSCIENCE, COMPUTINGTECHNOLOGY"
ADVANCED TOPICS IN CS,"ADVANCED, TOPICS, COMPUTERSCIENCE, COMPUTINGTECHNOLOGY"
ADVANCED TOPICS IN ITS,"ADVANCED, TOPICS, INFORMATIONTECHNOLOGY, INFORMATIONSYSTEMS"
ADVANCED TOPICS IN CS,"ADVANCED, TOPICS, COMPUTERSCIENCE, COMPUTINGTECHNOLOGY"
ADVANCED TOPICS IN ITS,"ADVANCED, TOPICS, INFORMATIONTECHNOLOGY, INFORMATIONSYSTEMS"
IS POLICY,"ADVANCED, TOPICS, INFORMATIONSYSTEMS, INFORMATIONTECHNOLOGY, COMPUTINGTECHNOLOGY, CAPPNG, PROJECT, SENIOR"
CS PROJECT I,"ADVANCED, TOPICS, COMPUTERSCIENCE, COMPUTINGTECHNOLOGY, CAPPNG, PROJECT, SENIOR"
CS PROJECT II,"ADVANCED, TOPICS, COMPUTERSCIENCE, COMPUTINGTECHNOLOGY, CAPPNG, PROJECT, SENIOR"
ADVANCED TECHNOLOGY INTERNSHIP,"NFORMATIONSYSTEMS, INFORMATIONTECHNOLOGY, COMPUTINGTECHNOLOGY, INTERNSHIP"
ITS PROJECT I,"ADVANCED, TOPICS, INFORMATIONSYSTEMS, INFORMATIONTECHNOLOGY, COMPUTINGTECHNOLOGY, CAPPNG, PROJECT, SENIOR"
CRIMINOLOGY,"CRIMINALS, CRIMINALJUSTICE, PEOPLE, HUMANBEHAVIOR, LAW"
ITS PROJECT II,"ADVANCED, TOPICS, INFORMATIONSYSTEMS, INFORMATIONTECHNOLOGY, COMPUTINGTECHNOLOGY, CAPPNG, PROJECT, SENIOR"
CLOUD INFRASTRUCTURE AND SERVICES,"CLOUDCOMPUTING, CLOUD, INFRASTRUCTURE, SYSTEMS"
ADVANCED FACILITIES MANAGEMENT,"INFRASTRUCTURE, SYSTEMS, MANAGEMENT"
INTRODUCTION TO CRIMINAL JUSTICE,"INTRODUCTORY, CRIMINALJUSTICE, LAW, PEOPLE, REGULATIONSS, HUMANBEHAVIOR, FORENSICS, BEHAVIOR"
LAW AND SOCIETY,"LAW, SOCIETY, PEOPLE, HUMANBEHAVIOR, REGULATIONSS, CULTURE, HUMANS, COMMUNITY,  CRIMINALJUSTICE"
POLICING IN AMERICA,"POLICY, AMERICANSTUDIES, SOCIETY, REGULATIONSS, LAW, CULTURE, HUMANBEHAVIOR, PEOPLE,  CRIMINALJUSTICE"
CORRECTIONS AND PENOLOGY,"REGULATIONS, RULES, LAW, POLICY, PEOPLE, HUMANBEHAVIOR, CRIMINALJUSTICE"
DRUG AND ALCOHOL USE AND ABUSE,"HUMANBEHAVIOR, LAW, MEDICINE, DRUGS, CRIMINALJUSTICE, DRUGABUSE, CRIMINALS, PEOPLE"
CRIMINAL LAW AND PROCEDURE," CRIMINALJUSTICE, LAW, RULES, REGULATIONSS, SOCIETY, CRIMINALS"
ORGANIZED CRIME," CRIMINALJUSTICE, LAW, RULES, REGULATIONSS, SOCIETY, CRIMINALS, HUMANS, PEOPLE, CRIME"
THEORIES OF PUNISHMENT," CRIMINALJUSTICE, LAW, RULES, REGULATIONSS, SOCIETY, CRIMINALS, HUMANS, PEOPLE, CRIME"
CRIMINAL JUSTICE RESEARCH METHODS," CRIMINALJUSTICE, LAW, RULES, REGULATIONSS, SOCIETY, CRIMINALS, HUMANS, PEOPLE, CRIME"
CRIMINAL JUSTICE ETHICS," CRIMINALJUSTICE, LAW, RULES, REGULATIONSS, SOCIETY, CRIMINALS, HUMANS, PEOPLE, CRIME"
TERRORISM," CRIMINALJUSTICE, LAW, RULES, REGULATIONSS, SOCIETY, CRIMINALS, HUMANS, PEOPLE, CRIME"
RACE AND CRIME," CRIMINALJUSTICE, LAW, RULES, REGULATIONSS, SOCIETY, CRIMINALS, HUMANS, PEOPLE, CRIME, CULTURE"
SENIOR SEMINAR: CAPPING COURSE,"CRIMINALJUSTICE, LAW, PEOPLE, REGULATIONSS, HUMANBEHAVIOR, FORENSICS, BEHAVIOR, CAPPING, SENIOR, PROJECT"
THE CIVILIZATION OF JAPAN,"ASIANSTUDIES, CULTURE, WORLDSTUDIES, SOCIETY, CIVILIZATIONS, JAPAN, PEOPLE, COMMUNITY"
ARABIC CULTURES AND PERSPECTIVES,"ARABIC, EASTERNSTUDIES, WORLDSTUDIES, INTERNATIONALSTUDIES, CULTURE, PEOPLE, SOCIETY, PEOPLE"
CULTURES OF SPAIN,"SPAIN, EUROPE, EASTERNSTUDIES, WORLDSTUDIES, INTERNATIONALSTUDIES, CULTURE, PEOPLE, SOCIETY, PEOPLE"
CULTURES OF THE HISPANIC CARIBBEAN,"CARIBBEAN, SPANISH, EASTERNSTUDIES, WORLDSTUDIES, INTERNATIONALSTUDIES, CULTURE, PEOPLE, SOCIETY, PEOPLE"
INTRODUCTION TO GLOBAL ISSUES,"WORLDSTUDIES, GLOBALSTUDIES, GLOBALISSUES, CULTURE, PEOPLE, HUMANS, SOCIETY"
FRANCE & THE WORLD,"FRANCE, EUROPE, SOCIETY, EASTERNSTUDIES, EUROPEANSTUDIES, WORLDSTUDIES, COMMUNITY, GLOBALSTUDIES"
FRENCH CULTURE & THOUGHT:,"FRANCE, EUROPE, SOCIETY, EASTERNSTUDIES, EUROPEANSTUDIES, WORLDSTUDIES, COMMUNITY, GLOBALSTUDIES"
CULTURES OF LATIN AMERICA,"SPANISH, WESTERNSTUDIES, WORLDSTUDIES, INTERNATIONALSTUDIES, CULTURE, PEOPLE, SOCIETY, PEOPLE"
THEMES IN SPANISH CINEMA,"SPANISH, WESTERNSTUDIES, WORLDSTUDIES, INTERNATIONALSTUDIES, CULTURE, PEOPLE, SOCIETY, PEOPLE, FILM, MOVIES, ACTING, ACTORS"
THEMES IN LATIN AMERICAN CINEMA,"SPANISH, WESTERNSTUDIES, WORLDSTUDIES, INTERNATIONALSTUDIES, CULTURE, PEOPLE, SOCIETY, PEOPLE, FILM, MOVIES, ACTING, ACTORS"
INTRODUCTION TO DATA ANALYSIS,"DATA, ANALYSIS, ANALYTICS, DATASCIENCE, DATAANALYSIS, STATISTICS, R"
THE CIVILIZATION OF ITALY,"ITALY, WORLDSTUDIES, EUROPE, EUROPEANSTUDIES, EASTERNSTUDIES, CIVILIZATIONS, PEOPLE, WORLDHISTORY"
DATA VISUALIZATION,"DATA, ANALYSIS, ANALYTICS, DATASCIENCE, DATAANALYSIS, STATISTICS, R, COMPUTERGRAPHICS, VISUALIZATION, DATAVISUALIZATION, CHARTS, TABLES"
MACHINE LEARNING,"ARTIFICIALINTELLIGENCE, MACHINELEARNING, COMPUTERSCIENCE, COMPUTINGTECHNOLOGY, COMPUTERENGINEERING, DATASCIENCE, DATA"
ECONOMICS OF GENDER,"ECONOMICS, GENDERSTUDIES, SEX, GENDER, SOCIETY, CIVILIZATION, WORLDSTUDIES"
DATA MINING & PREDICTIVE ANALYTICS,"DATA, ANALYSIS, ANALYTICS, DATASCIENCE, DATAANALYSIS, STATISTICS, R, DATAMINING, DATAPREDICTION, PREDICTIVE"
DATA SCIENCE PROJECT (CAPSTONE),"DATA, ANALYSIS, ANALYTICS, DATASCIENCE, DATAANALYSIS, STATISTICS, R, DATAMINING, DATAPREDICTION, PREDICTIVE, CAPSTONE"
PRINCIPLES OF MICROECONOMICS,"ECONOMICS, SUPPLYANDDEMAND, SUPPLY, DEMAND, MONEY, INVESTING, TAX, BUSINESS, PRICES"
PRINCIPLES OF MACROECONOMICS,"ECONOMICS, SUPPLYANDDEMAND, SUPPLY, DEMAND, MONEY, INVESTING, TAX, BUSINESS, PRICES"
ECONOMICS OF SOCIAL ISSUES,"ECONOMICS, SUPPLYANDDEMAND, SUPPLY, DEMAND, MONEY, INVESTING, TAX, BUSINESS, PRICES, SOCIAL, SOCIETY"
INTERMEDIATE MICROECONOMIC THEORY,"ECONOMICS, SUPPLYANDDEMAND, SUPPLY, DEMAND, MONEY, INVESTING, TAX, BUSINESS, PRICES"
INTERMEDIATE MACROECONOMIC THEORY,"ECONOMICS, SUPPLYANDDEMAND, SUPPLY, DEMAND, MONEY, INVESTING, TAX, BUSINESS, PRICES"
ENVIRONMENTAL ECONOMICS,"ECONOMICS, SUPPLYANDDEMAND, SUPPLY, DEMAND, MONEY, INVESTING, TAX, BUSINESS, PRICES, ENVIRONMENT, ENVIRONMENTALSTUDIES"
LABOR ECONOMICS,"ECONOMICS, SUPPLYANDDEMAND, SUPPLY, DEMAND, MONEY, INVESTING, TAX, BUSINESS, PRICES, LABOR"
MONEY AND BANKING,"MONEY, BANKING, FINANCE, ECONOMICS, FEDERALRESERVE, CASH, INVESTING, BANKS"
FINANCIAL MARKETS AND INSTITUTIONS,"FINANCE, ECONOMICS, INVESTING, STOCKS, MARKETS, CASH, MONEY, BANKING, BANKS, HEDGEFUNDS, FIRMS"
INTERNATIONAL ECONOMICS,"INTERNATIONALSTUDIES, ECONOMICS, MONEY, GLOBALSTUDIES, WORLDSTUDIES, BANKING"
HISTORY OF ECONOMIC THOUGHT,"ECONOMICS, PHILOSOPHYMONEY, SUPPLYANDDEMAND, SUPPLY, DEMAND, BANKS, PEOPLE"
CONTEMPORARY ECONOMIC ISSUES,"ECONOMICS, PHILOSOPHYMONEY, SUPPLYANDDEMAND, SUPPLY, DEMAND, BANKS, PEOPLE"
FOUNDATIONS OF EDUCATION,"FOUNDATIONAL, EDUCATION, TEACHING, LEARNING, CHILDREN, SCHOOL, TEACHER"
INTRODUCTION TO TEACHING,"FOUNDATIONAL, INTRODUCTORY, EDUCATION, TEACHING, LEARNING, CHILDREN, SCHOOL, TEACHER"
GENRE STUDY,"GENRE, STUDY, BOOKS, READING, WRITING, ENGLISH, SOCIETY, POETRY, POEMS, DRAMA"
SPECIAL TOPICS IN EDUCATION,"FOUNDATIONAL, INTRODUCTORY, EDUCATION, TEACHING, LEARNING, CHILDREN, SCHOOL, TEACHER"
INTERMEDIATE WRITING FOR COLLEGE,"WRITING, INTERMEDIATE, ENGLISH, COLLEGE, BOOKS, LITERATURE, HUMANS, NOVEL, TEACHING, PRESENTATION, ESSAY"
WRITING FOR COLLEGE,"WRITING, INTERMEDIATE, ENGLISH, COLLEGE, BOOKS, LITERATURE, HUMANS, NOVEL, TEACHING, PRESENTATION, ESSAY"
INTRODUCTION TO THEATRE,"WRITING, INTERMEDIATE, ENGLISH, COLLEGE, BOOKS, LITERATURE, HUMANS, NOVEL, TEACHING, PRESENTATION, ESSAY, ACTING, THEATRE"
LITERARY STUDY,"WRITING, INTERMEDIATE, ENGLISH, COLLEGE, BOOKS, LITERATURE, HUMANS, NOVEL, TEACHING, PRESENTATION, ESSAY"
WRITING AS A DISCIPLINE,"WRITING, INTERMEDIATE, ENGLISH, COLLEGE, BOOKS, LITERATURE, HUMANS, NOVEL, TEACHING, PRESENTATION, ESSAY"
ENGLISH AS A FOREIGN LANGUAGE I,"TEACHING, LANGUAGESTUDY, EDUCATION, ENGLISH, FOREIGNLANGUAGE, LANGUAGE"
INTRODUCTION TO LINGUISTICS,"LANGUAGE, WRITING, SPEECH, ENGLISH, WORDS, LANGUAGESTUDY"
ENGLISH AS A FOREIGN LANGUAGE II,"TEACHING, LANGUAGESTUDY, EDUCATION, ENGLISH, FOREIGNLANGUAGE, LANGUAGE"
THE ART OF POETRY,"READING, ENGLISH, LITERATURE, POETRY, STYLE, WRITING, POEMS"
"GRAMMAR, STYLE AND EDITING","GRAMMAR, WRITING, STYLE, ENGLISH, TEACHING, LINGUISTICS, EDITING"
MODERN SPECULATIVE FICTION,"READING, BOOKS, ENGLISH, LITERATURE, MODERN, FICTION, WRITING"
AMERICAN LITERATURE I,"AMERICANSTUDIES, LITERATURE, READING, WRITING, ENGLISH, STYLE, BOOKS"
AMERICAN LITERATURE II,"AMERICANSTUDIES, LITERATURE, READING, WRITING, ENGLISH, STYLE, BOOKS"
ENGLISH LITERATURE I,"AMERICANSTUDIES, LITERATURE, READING, WRITING, ENGLISH, STYLE, BOOKS"
ENGLISH LITERATURE II,"AMERICANSTUDIES, LITERATURE, READING, WRITING, ENGLISH, STYLE, BOOKS"
RELIGIOUS THEMES IN LITERATURE,"RELIGION, SOCIETY, HUMANS, COMMUNITY, CULTURE, HUMANBEHAVIOR, WORLDSTUDIES, INTERNATIONALSTUDIES, CHILDREN, FAMILYSTUDIES, LITERATURE, THEMES, STUDY, BEHAVIOR, WORLDSTUDIES"
LITERATURE AND GENDER,"LITERATURE, BOOKS, READING, WRITING, GENDERSTUDIES, GENDER, ENGLISH, SOCIETY"
THEMES IN SHAKESPEARE,"THEATRE, SHAKESPEARE, THEMES, READING, LITERATURE, ENGLISH"
LITERARY GENRES: DRAMA & POETRY,"LITERATURE, BOOKS, READING, WRITING, ENGLISH, SOCIETY, POETRY, POEMS, DRAMA"
ACTING I,"ACTING, THEATRE, ACTORS, PLAY, SCRIPT, WRITING, SPEAKING"
THEATRE PRACTICUM,"ACTING, THEATRE, ACTORS, PLAY, SCRIPT, WRITING, SPEAKING"
CLASSICS OF WESTERN LITERATURE,"WESTERNSTUDIES, LITERATURE, READING, WRITING, BOOKS, ENGLISH"
LITERARY GENRES: FICTION,"LITERATURE, READING, FICTION, GENRE, ENGLISH, BOOKS, WRITING"
CLASSICS OF WESTERN LITERATURE II,"WESTERNSTUDIES, LITERATURE, READING, WRITING, BOOKS, ENGLISH"
AMERICAN SHORT FICTION,"AMERICANSTUDIES, LITERATURE, READING, WRITING, ENGLISH, STYLE, BOOKS, FICTION, SHORTSTORIES"
ACTING II,"ACTING, THEATRE, ACTORS, PLAY, SCRIPT, WRITING, SPEAKING"
CREATIVE WRITING,"CREATIVITY, WRITING, ENGLISH, LITERATURE, BOOKS, FICTION"
SPECIAL TOPICS IN ENGLISH,"ENGLISH, LITERATURE, BOOKS, HISTORY"
HISTORY OF THE ENGLISH LANGUAGE,"HISTORY, ENGLISH, LINGUISTICS, LANGUAGESTUDY, READING, BOOKS, WRITING, STYLE"
WORLD ENGLISHES,"HISTORY, ENGLISH, LINGUISTICS, LANGUAGESTUDY, READING, BOOKS, WRITING, STYLE"
ITALIAN-AMERICAN EXPERIENCE,"ITALY, AMERICANSTUDIES, AMERICA, WORLDSTUDIES, ENGLISH, READING, LITERATURE"
MEDIA PERFORMANCE,"MEDIA, NEWS, ENGLISH, BROADCAST, PUBLIC, SPEECH"
LITERARY CRITICAL THEORY,"LITERATURE, READING, GENRE, ENGLISH, BOOKS, WRITING, THEORY"
WORKSHOP IN PLAYWRITING,"ACTING, THEATRE, ACTORS, PLAY, SCRIPT, WRITING, SPEAKING"
THE RISE OF THE ENGLISH NOVEL,"ENGLISH, BOOKS, NOVELS, LANGUAGESTUDY, LITERATURE, WRITING, STYLE"
POETRY WORKSHOP,"READING, ENGLISH, LITERATURE, POETRY, STYLE, WRITING, POEMS"
BUSINESS WRITING,"BUSINESS, EXECUTIVESUMMARY, WRITING, ENGLISH"
FORMS IN WRITING,"WRITING, FORMS, ENGLISH, STYLE"
SHAKESPEARE,"THEATRE, SHAKESPEARE, READING, LITERATURE, ENGLISH"
THE MODERN NOVEL IN ENGLISH,"ENGLISH, BOOKS, NOVELS, LANGUAGESTUDY, LITERATURE, WRITING, STYLE, MODERN"
MODERN ENGLISH AND AMERICAN POETRY,"READING, ENGLISH, LITERATURE, POETRY, STYLE, WRITING, POEMS, MODERN"
SEVENTEENTH-CENTURY LITERATURE,"LITERATURE, READING, GENRE, ENGLISH, BOOKS, WRITING, OLDLITERATURE"
AMERICAN DRAMA I,"AMERICANSTUDIES, DRAMA, LITERATURE, THEATRE, WRITING, SCRIPTS"
MEDIEVAL LITERATURE,"LITERATURE, READING, GENRE, ENGLISH, BOOKS, WRITING, OLDLITERATURE, MEDIEVAL"
RENAISSANCE LITERATURE,"LITERATURE, READING, GENRE, ENGLISH, BOOKS, WRITING, OLDLITERATURE, RENAISSANCE"
THE ROMANTICS,"LOVE, READING, BOOKS, DRAMA, LITERATURE, THEATRE, WRITING, SCRIPTS"
VICTORIAN PROSE AND POETRY,"POEMS, POETRY, LITERATURE, BOOKS, ENGLISH, OLDLITERATURE, WRITING"
FILM AND LITERATURE,"FILMSTUDIES, FILM, MOVIES, LITERATURE, ENGLISH, WRITING, BOOKS"
AMERICAN DRAMA II,"AMERICANSTUDIES, DRAMA, LITERATURE, THEATRE, WRITING, SCRIPTS"
MODERN IRISH LITERATURE,"LITERATURE, READING, GENRE, ENGLISH, BOOKS, WRITING, MODERN, IRISH"
AMERICAN RENAISSANCE,"LITERATURE, READING, GENRE, ENGLISH, BOOKS, WRITING, OLDLITERATURE, RENAISSANCE, AMERICANSTUDIES"
AMERICAN REALISTS AND NATURALISTS,"LITERATURE, READING, GENRE, ENGLISH, BOOKS, WRITING, OLDLITERATURE, RENAISSANCE, AMERICANSTUDIES"
AMERICAN MODERNISM,"AMERICANSTUDIES, LITERATURE, THEATRE, WRITING, MODERN, BOOKS"
ACTING III,"ACTING, THEATRE, ACTORS, PLAY, SCRIPT, WRITING, SPEAKING"
BRITISH MODERNISM,"BRITISH, EASTERNSTUDIES, LITERATURE, THEATRE, ENGLISH, WRITING, MODERN, BOOKS"
THE HISTORY OF THE MODERN THEATRE,"ACTING, THEATRE, ACTORS, PLAY, SCRIPT, WRITING, SPEAKING, MODERN, HISTORY"
DIRECTING,"ACTING, THEATRE, ACTORS, PLAY, SCRIPT, WRITING, SPEAKING, DIRECTING, MOVIES, FILM"
ANCIENT GREEK LITERATURE,"LITERATURE, READING, GENRE, ENGLISH, BOOKS, WRITING, OLDLITERATURE, GREECE, OLDLITERATURE, EASTERNSTUDIES"
COMPOSITION THEORY,"THEORY, WRITING, ENGLISH, LITERATURE, BOOKS, COMPOSITION"
TECHNICAL WRITING,"WRITING, FORMS, ENGLISH, STYLE, TECHNICAL"
MODERN DRAMA,"DRAMA, LITERATURE, THEATRE, WRITING, SCRIPTS, MODERN"
MODERN JEWISH LITERATURE,"EASTERNSTUDIES, LITERATURE, THEATRE, ENGLISH, WRITING, MODERN, BOOKS, RELIGIOUS"
ETHNIC AMERICAN LITERATURE,"AMERICANSTUDIES, LITERATURE, READING, CULTURE, WORLDSTUDIES, SOCIETY, ENGLISH"
JUNIOR/SENIOR RESEARCH SEMINAR,"JUNIOR, SENIOR, RESEARCH, SEMINAR"
LITERATURE OF THE HOLOCAUST,"LITERATURE, HISTORY, WORLDHISTORY, WRITNG, READING, BOOKS, JUDAISM"
WORKSHOP IN FICTION,"FICTION, BOOKS, WORKSHOP, ENGLISH, LITERATURE, READING"
SEMINAR IN AMERICAN LITERATURE,"SEMINAR, AMERICANSTUDIES, LITERATURE, BOOKS, WRITING, THEMES, STUDY, ENGLISH"
THEATRE WORKSHOP,"ACTING, THEATRE, ACTORS, PLAY, SCRIPT, WRITING, SPEAKING, WORKSHOP"
ADVANCED SCREENWRITING,"ACTING, THEATRE, ACTORS, PLAY, SCRIPT, WRITING, SPEAKING, WORKSHOP, ADVANCED"
SEMINAR IN ENGLISH LITERATURE,"SEMINAR, LITERATURE, BOOKS, WRITING, THEMES, STUDY, ENGLISH, CHARACTER"
INTRODUCTION TO GEOLOGY LABORATORY,"INTRODUCTORY, ENGLISH, LAB, GEOLOGY, ROCKS, CRUST, EARTH, STONES, SCIENCE, EARTHSCIENCE"
ENVIRONMENTAL ECONOMICS,"ECONOMICS, SUPPLYANDDEMAND, SUPPLY, DEMAND, MONEY, INVESTING, TAX, BUSINESS, PRICES, ENVIRONMENT, ENVIRONMENTALSTUDIES"
FIELD AND LAB EXPERIENCE,"LAB, ENVIRONMENTAL, SCIENCE, FIELDWORK, INPERSON, INFIELD. EXPERIENCE"
ENVIRONMENTAL POLITICS AND POLICY,"ENVIRONMENT, POLICY, POLITICS, PUBLICHEALTH, SOCIETY, NATURE, PUBLICPOLICY"
ENVIRONMENTAL HEALTH,"HEALTH, ENVIRONMENT, PUBLICHEALTH, NATURE, HUMANS, PEOPLE, SOCIETY"
